clientID,time
1,3111
2,32822
3,43941
4,7999
5,8314
6,205373
7,53534
8,89767
9,60725
10,76211
11,67451
12,101936
13,65333
14,83135
15,97741
16,70130
17,76890
18,82012
19,54280
20,50640
21,59325
22,82029
23,92816
24,81409
25,87963
26,87423
27,93448
28,83073
29,40169
30,114778
31,89318
32,172964
33,114207
34,88612
35,79427
36,94415
37,102317
38,96482
39,116143
40,145829
41,112754
42,108394
43,107196
44,117933
45,109540
46,113174
47,111847
48,106525
49,106293
50,156442
51,105718
52,105043
53,103950
54,103123
55,106683
56,148544
57,138996
58,112957
59,101199
60,129785
61,89911
62,95601
63,93139
64,99329
65,83455
66,93347
67,98222
68,98574
69,92485
70,101618
71,97494
72,97621
73,105616
74,103823
75,98395
76,110878
77,93652
78,91981
79,99824
80,84718
81,85149
82,74155
83,92915
84,93976
85,92775
86,84924
87,86611
88,82975
89,82292
90,78301
91,78010
92,67075
93,79532
94,68669
95,72612
96,72009
97,70439
98,63321
99,69594
100,68750
