clientID,time
1,3475
2,4419
3,7882
4,12289
5,13937
6,16836
7,20282
8,23370
9,24856
10,26907
11,27947
12,31335
13,34246
14,36381
15,38275
16,44971
17,74740
18,77177
19,78396
20,80272
21,83776
22,84990
23,85879
24,86737
25,87579
26,88270
27,91163
28,93978
29,96918
30,99210
31,102085
32,105160
33,108760
34,110669
35,114477
36,117831
37,120548
38,121619
39,122559
40,124589
41,125773
42,126644
43,129632
44,132789
45,134416
46,137260
47,139621
48,143478
49,145112
50,146001
51,149065
52,149673
53,153012
54,154318
55,155081
56,154728
57,155164
58,156810
59,160939
60,165869
61,167215
62,169887
63,173413
64,173464
65,175085
66,177165
67,180023
68,183330
69,186448
70,189689
71,192522
72,193599
73,193971
74,205307
75,213542
