clientID,time
1,2256
2,2368
3,2614
4,5093
5,4057
6,3147
7,1839
8,1806
9,1613
10,2406
11,1899
12,2777
13,19377
14,16275
15,4536
16,11305
17,11754
18,23510
19,15037
20,20012
21,12613
22,12361
23,11365
24,6850
25,5454
26,8129
27,6585
28,3376
29,3239
30,2172
31,5285
32,5545
33,5289
34,3030
35,1445
36,1640
37,1636
38,8106
39,4073
40,6608
41,6633
42,6337
43,4676
44,3758
45,4976
46,3226
47,1434
48,1824
49,1758
50,1491
51,24821
52,21298
53,37385
54,35040
55,11567
56,24889
57,22180
58,27432
59,13686
60,20697
61,14100
62,15079
63,2733
64,15458
65,11888
66,8574
67,6019
68,7302
69,3368
70,1608
71,1551
72,1947
73,3813
74,5944
75,26518
76,31330
77,33263
78,35278
79,26753
80,43076
81,18321
82,11316
83,29566
84,33766
85,29704
86,11213
87,23516
88,21348
89,19203
90,17357
91,18754
92,14576
93,9235
94,7964
95,2659
96,2588
97,2584
98,3634
99,2573
100,1862
