clientID,time
1,7760
2,11020
3,8352
4,6563
5,6871
6,5667
7,4959
8,3478
9,2613
10,1995
11,3718
12,4181
13,6392
14,8449
15,16032
16,4734
17,15119
18,15099
19,12226
20,11664
21,11561
22,9133
23,9334
24,7276
25,6444
26,2486
27,1945
28,1252
29,1616
30,2412
31,1292
32,1234
33,7366
34,4331
35,4659
36,3362
37,3129
38,3597
39,1902
40,1821
41,2673
42,1863
43,1828
44,1382
45,1483
46,4077
47,6201
48,5669
49,6648
50,6547
51,4893
52,3849
53,3779
54,2458
55,2358
56,1458
57,1278
58,1736
59,1640
60,2211
61,7030
62,7094
63,5626
64,4353
65,4149
66,4786
67,3183
68,3450
69,1569
70,2617
71,1855
72,1762
73,2172
74,2325
75,1784
