clientID,time
1,5931
2,30841
3,39207
4,47497
5,70336
6,92264
7,101481
8,117028
9,130153
10,142301
11,161367
12,169469
13,195103
14,207417
15,229441
16,251006
17,281443
18,311843
19,327878
20,338508
21,357092
22,363743
23,382818
24,393193
25,399905
26,413432
27,438386
28,464698
29,473073
30,493124
31,512852
32,517607
33,538352
34,559098
35,578006
36,596069
37,622508
38,639705
39,648947
40,654303
41,679801
42,695102
43,705652
44,723295
45,733239
46,752934
47,786868
48,789158
49,816018
50,822617
51,839945
52,847530
53,863348
54,890269
55,903037
56,927513
57,947829
58,961820
59,982071
60,990138
61,1014828
62,1017742
63,1022251
64,1025588
65,1048524
66,1061204
67,1068326
68,1080626
69,1105051
70,1112413
71,1134398
72,1143908
73,1164481
74,1175546
75,1181221
