clientID,time
1,5149
2,16130
3,31342
4,37511
5,54111
6,62083
7,38888
8,50064
9,60325
10,55247
11,51657
12,42030
13,62552
14,59915
15,59336
16,63308
17,61911
18,61634
19,58376
20,49790
21,47206
22,31054
23,62704
24,67489
25,74902
26,62193
27,53846
28,33769
29,67168
30,50478
31,62743
32,39851
33,62766
34,55462
35,53880
36,43176
37,59268
38,62649
39,69788
40,52097
41,53831
42,64196
43,64599
44,33799
45,34578
46,56980
47,83477
48,30331
49,54958
50,37275
51,68427
52,39916
53,57403
54,34288
55,29241
56,56302
57,51693
58,45271
59,50402
60,37221
61,43918
62,44441
63,46400
64,40445
65,26473
66,38195
67,29452
68,29105
69,26384
70,27064
71,27605
72,25696
73,24064
74,22024
75,21253
